attendance,date,division,f1_r1_clinch_a,f1_r1_clinch_l,f1_r1_distance_a,f1_r1_distance_l,f1_r1_ground_a,f1_r1_ground_l,f1_r1_kd,f1_r1_pass,f1_r1_rev,f1_r1_s_a,f1_r1_s_l,f1_r1_ss_a,f1_r1_ss_body_a,f1_r1_ss_body_l,f1_r1_ss_head_a,f1_r1_ss_head_l,f1_r1_ss_l,f1_r1_ss_leg_a,f1_r1_ss_leg_l,f1_r1_sub_a,f1_r1_td_a,f1_r1_td_l,f1_r2_clinch_a,f1_r2_clinch_l,f1_r2_distance_a,f1_r2_distance_l,f1_r2_ground_a,f1_r2_ground_l,f1_r2_kd,f1_r2_pass,f1_r2_rev,f1_r2_s_a,f1_r2_s_l,f1_r2_ss_a,f1_r2_ss_body_a,f1_r2_ss_body_l,f1_r2_ss_head_a,f1_r2_ss_head_l,f1_r2_ss_l,f1_r2_ss_leg_a,f1_r2_ss_leg_l,f1_r2_sub_a,f1_r2_td_a,f1_r2_td_l,f1_r3_clinch_a,f1_r3_clinch_l,f1_r3_distance_a,f1_r3_distance_l,f1_r3_ground_a,f1_r3_ground_l,f1_r3_kd,f1_r3_pass,f1_r3_rev,f1_r3_s_a,f1_r3_s_l,f1_r3_ss_a,f1_r3_ss_body_a,f1_r3_ss_body_l,f1_r3_ss_head_a,f1_r3_ss_head_l,f1_r3_ss_l,f1_r3_ss_leg_a,f1_r3_ss_leg_l,f1_r3_sub_a,f1_r3_td_a,f1_r3_td_l,f1_r4_clinch_a,f1_r4_clinch_l,f1_r4_distance_a,f1_r4_distance_l,f1_r4_ground_a,f1_r4_ground_l,f1_r4_kd,f1_r4_pass,f1_r4_rev,f1_r4_s_a,f1_r4_s_l,f1_r4_ss_a,f1_r4_ss_body_a,f1_r4_ss_body_l,f1_r4_ss_head_a,f1_r4_ss_head_l,f1_r4_ss_l,f1_r4_ss_leg_a,f1_r4_ss_leg_l,f1_r4_sub_a,f1_r4_td_a,f1_r4_td_l,f1_r5_clinch_a,f1_r5_clinch_l,f1_r5_distance_a,f1_r5_distance_l,f1_r5_ground_a,f1_r5_ground_l,f1_r5_kd,f1_r5_pass,f1_r5_rev,f1_r5_s_a,f1_r5_s_l,f1_r5_ss_a,f1_r5_ss_body_a,f1_r5_ss_body_l,f1_r5_ss_head_a,f1_r5_ss_head_l,f1_r5_ss_l,f1_r5_ss_leg_a,f1_r5_ss_leg_l,f1_r5_sub_a,f1_r5_td_a,f1_r5_td_l,f1_tot_clinch_a,f1_tot_clinch_l,f1_tot_distance_a,f1_tot_distance_l,f1_tot_ground_a,f1_tot_ground_l,f1_tot_kd,f1_tot_pass,f1_tot_rev,f1_tot_s_a,f1_tot_s_l,f1_tot_ss_a,f1_tot_ss_body_a,f1_tot_ss_body_l,f1_tot_ss_head_a,f1_tot_ss_head_l,f1_tot_ss_l,f1_tot_ss_leg_a,f1_tot_ss_leg_l,f1_tot_sub_a,f1_tot_td_a,f1_tot_td_l,f2_r1_clinch_a,f2_r1_clinch_l,f2_r1_distance_a,f2_r1_distance_l,f2_r1_ground_a,f2_r1_ground_l,f2_r1_kd,f2_r1_pass,f2_r1_rev,f2_r1_s_a,f2_r1_s_l,f2_r1_ss_a,f2_r1_ss_body_a,f2_r1_ss_body_l,f2_r1_ss_head_a,f2_r1_ss_head_l,f2_r1_ss_l,f2_r1_ss_leg_a,f2_r1_ss_leg_l,f2_r1_sub_a,f2_r1_td_a,f2_r1_td_l,f2_r2_clinch_a,f2_r2_clinch_l,f2_r2_distance_a,f2_r2_distance_l,f2_r2_ground_a,f2_r2_ground_l,f2_r2_kd,f2_r2_pass,f2_r2_rev,f2_r2_s_a,f2_r2_s_l,f2_r2_ss_a,f2_r2_ss_body_a,f2_r2_ss_body_l,f2_r2_ss_head_a,f2_r2_ss_head_l,f2_r2_ss_l,f2_r2_ss_leg_a,f2_r2_ss_leg_l,f2_r2_sub_a,f2_r2_td_a,f2_r2_td_l,f2_r3_clinch_a,f2_r3_clinch_l,f2_r3_distance_a,f2_r3_distance_l,f2_r3_ground_a,f2_r3_ground_l,f2_r3_kd,f2_r3_pass,f2_r3_rev,f2_r3_s_a,f2_r3_s_l,f2_r3_ss_a,f2_r3_ss_body_a,f2_r3_ss_body_l,f2_r3_ss_head_a,f2_r3_ss_head_l,f2_r3_ss_l,f2_r3_ss_leg_a,f2_r3_ss_leg_l,f2_r3_sub_a,f2_r3_td_a,f2_r3_td_l,f2_r4_clinch_a,f2_r4_clinch_l,f2_r4_distance_a,f2_r4_distance_l,f2_r4_ground_a,f2_r4_ground_l,f2_r4_kd,f2_r4_pass,f2_r4_rev,f2_r4_s_a,f2_r4_s_l,f2_r4_ss_a,f2_r4_ss_body_a,f2_r4_ss_body_l,f2_r4_ss_head_a,f2_r4_ss_head_l,f2_r4_ss_l,f2_r4_ss_leg_a,f2_r4_ss_leg_l,f2_r4_sub_a,f2_r4_td_a,f2_r4_td_l,f2_r5_clinch_a,f2_r5_clinch_l,f2_r5_distance_a,f2_r5_distance_l,f2_r5_ground_a,f2_r5_ground_l,f2_r5_kd,f2_r5_pass,f2_r5_rev,f2_r5_s_a,f2_r5_s_l,f2_r5_ss_a,f2_r5_ss_body_a,f2_r5_ss_body_l,f2_r5_ss_head_a,f2_r5_ss_head_l,f2_r5_ss_l,f2_r5_ss_leg_a,f2_r5_ss_leg_l,f2_r5_sub_a,f2_r5_td_a,f2_r5_td_l,f2_tot_clinch_a,f2_tot_clinch_l,f2_tot_distance_a,f2_tot_distance_l,f2_tot_ground_a,f2_tot_ground_l,f2_tot_kd,f2_tot_pass,f2_tot_rev,f2_tot_s_a,f2_tot_s_l,f2_tot_ss_a,f2_tot_ss_body_a,f2_tot_ss_body_l,f2_tot_ss_head_a,f2_tot_ss_head_l,f2_tot_ss_l,f2_tot_ss_leg_a,f2_tot_ss_leg_l,f2_tot_sub_a,f2_tot_td_a,f2_tot_td_l,fighter_1,fighter_1_detail_url,fighter_1_nn,fighter_2,fighter_2_detail_url,fighter_2_nn,location,referee,rounds,time,time_seconds,url,win_method,win_method_details,winner
,2019-09-07T00:00:00+00:00,Heavyweight Bout,0,0,7,2,17,10,0,2,0,43,25,24,1,1,22,10,12,1,1,0,4,4,0,0,3,0,16,13,0,1,0,31,21,19,0,0,19,13,13,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,2,33,23,0,3,0,74,46,43,1,1,41,23,25,1,1,0,5,5,0,0,5,1,0,0,0,0,0,5,1,5,1,0,4,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,2,3,0,0,3,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,3,0,0,0,0,0,8,3,8,1,0,7,3,3,0,0,0,0,0,Curtis Blaydes,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,"""Razor""",Shamil Abdurakhimov,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,"""Abrek""","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,2,2:22,142,http://www.ufcstats.com/fight-details/066756ea40b134a7,KO/TKO,Elbow to Head From Half Guard,Curtis Blaydes
,2019-09-07T00:00:00+00:00,Lightweight Bout,0,0,25,10,0,0,0,0,0,25,10,25,3,2,19,5,10,3,3,0,1,0,2,2,45,17,0,0,0,0,0,52,24,47,7,5,39,13,19,1,1,0,0,0,1,1,4,2,18,11,1,0,0,71,54,23,0,0,23,14,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,74,29,18,11,1,0,0,148,88,95,10,7,81,32,43,4,4,0,1,0,0,0,24,2,0,0,0,0,0,24,2,24,7,0,16,1,2,1,1,0,0,0,2,2,30,3,0,0,0,0,0,33,6,32,7,1,25,4,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,23,19,2,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,56,5,0,0,0,0,0,80,27,58,14,1,43,5,7,1,1,0,1,0,Islam Makhachev,http://www.ufcstats.com/fighter-details/275aca31f61ba28c,,Davi Ramos,http://www.ufcstats.com/fighter-details/0052de90691d4a93,"""Tasmanian Devil""","Abu Dhabi, Abu Dhabi, United Arab Emirates",Peter Hickmott,3,5:00,300,http://www.ufcstats.com/fight-details/849eb47d349f3fe4,Decision - Unanimous,Clemens Werner 30 - 26.Mark Collett 30 - 26.Ben Cartlidge 29 - 27.,Islam Makhachev
,2019-09-07T00:00:00+00:00,Lightweight Bout,0,0,54,24,0,0,0,0,0,54,24,54,11,7,35,10,24,8,7,0,0,0,0,0,29,16,5,5,0,0,0,52,37,34,7,6,21,10,21,6,5,0,1,1,0,0,26,15,0,0,0,0,0,27,16,26,6,6,18,7,15,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,109,55,5,5,0,0,0,133,77,114,24,19,74,27,60,16,14,0,3,1,1,1,50,12,0,0,0,0,0,54,16,51,3,2,46,9,13,2,2,0,0,0,0,0,40,16,6,4,0,0,0,57,31,46,4,4,39,13,20,3,3,0,2,0,0,0,57,23,0,0,0,0,0,63,28,57,3,3,52,19,23,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,147,51,6,4,0,0,0,174,75,154,10,9,137,41,56,7,6,0,2,0,Edson Barboza,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,"""Junior""",Paul Felder,http://www.ufcstats.com/fighter-details/e5010b1b94ca5755,"""The Irish Dragon""","Abu Dhabi, Abu Dhabi, United Arab Emirates",Herb Dean,3,5:00,300,http://www.ufcstats.com/fight-details/357a34207d70da69,Decision - Split,Maria Makhmutova 27 - 30.David Lethaby 28 - 29.Howie Booth 30 - 27.,Paul Felder
,2019-09-07T00:00:00+00:00,UFC Lightweight Title Bout,0,0,3,1,9,7,0,2,0,27,22,12,0,0,11,7,8,1,1,1,4,3,1,1,21,8,4,4,0,1,0,39,26,26,2,2,22,9,13,2,2,0,3,3,0,0,3,1,0,0,0,2,0,11,6,3,1,1,2,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,27,10,13,11,0,5,0,77,54,41,3,3,35,16,22,3,3,2,8,7,0,0,6,2,0,0,0,0,0,15,11,6,2,0,1,0,2,3,2,0,0,0,1,0,27,8,0,0,0,0,0,37,17,28,4,2,23,5,8,1,1,0,0,0,0,0,5,2,0,0,0,0,0,5,2,5,1,0,2,0,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,38,12,0,0,0,0,0,57,30,39,7,2,26,5,12,6,5,1,0,0,Khabib Nurmagomedov,http://www.ufcstats.com/fighter-details/032cc3922d871c7f,"""The Eagle""",Dustin Poirier,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0,"""The Diamond""","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,3,2:06,126,http://www.ufcstats.com/fight-details/01a4827b3596d111,Submission,Rear Naked Choke,Khabib Nurmagomedov
,2019-08-31T00:00:00+00:00,Women's Bantamweight Bout,0,0,128,57,0,0,0,0,0,131,60,128,5,3,98,34,57,25,20,0,0,0,6,4,104,53,3,2,0,0,0,115,60,113,3,3,92,40,59,18,16,0,0,0,5,3,101,49,4,3,1,0,0,112,57,110,8,5,76,34,55,26,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,333,159,7,5,1,0,0,358,177,351,16,11,266,108,171,69,52,0,0,0,2,2,110,64,0,0,0,0,0,115,69,112,8,8,85,40,66,19,18,0,2,0,5,3,96,51,0,0,0,0,0,102,55,101,3,1,89,44,54,9,9,0,1,0,2,2,75,43,0,0,0,0,0,77,45,77,4,4,70,38,45,3,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,281,158,0,0,0,0,0,294,169,290,15,13,244,122,165,31,30,0,5,0,Karol Rosa,http://www.ufcstats.com/fighter-details/351c4ec637380ad5,,Lara Procopio,http://www.ufcstats.com/fighter-details/e99821959a840bb8,,"Shenzhen, Guangdong, China",Thomas Fan,3,5:00,300,http://www.ufcstats.com/fight-details/a072be4f806d360f,Decision - Split,Albert Shen 28 - 29.Howard Hughes 30 - 27.Garth Harriman 29 - 28.,Karol Rosa
,2019-08-31T00:00:00+00:00,Bantamweight Bout,0,0,32,14,0,0,0,0,0,33,15,32,0,0,32,14,14,0,0,0,0,0,0,0,31,11,0,0,0,0,0,31,11,31,1,1,30,10,11,0,0,0,0,0,0,0,23,8,3,3,0,2,0,69,37,26,0,0,26,11,11,0,0,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,86,33,3,3,0,2,0,133,63,89,1,1,88,35,36,0,0,0,7,3,1,0,73,21,0,0,0,0,0,74,21,74,4,1,62,17,21,8,3,0,0,0,5,1,83,30,0,0,0,0,0,89,32,88,11,4,75,25,31,2,2,0,1,0,5,4,46,17,17,12,0,0,0,106,66,68,2,1,65,32,33,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,202,68,17,12,0,0,0,269,119,230,17,6,202,74,85,11,5,0,1,0,Heili Alateng,http://www.ufcstats.com/fighter-details/1897b7b913736a7c,"""The Mongolian Knight""",Danaa Batgerel,http://www.ufcstats.com/fighter-details/3b0a516d2921e0d6,"""Storm""","Shenzhen, Guangdong, China",Steve Perceval,3,5:00,300,http://www.ufcstats.com/fight-details/2e001d8c2f6106fc,Decision - Unanimous,Barry Foley 29 - 27.Evan Field 29 - 27.Mark Craig 29 - 27.,Heili Alateng
,2019-08-31T00:00:00+00:00,Lightweight Bout,0,0,57,18,16,10,1,0,0,75,30,73,16,10,48,9,28,9,9,0,0,0,2,2,53,16,1,1,0,0,0,57,19,56,8,4,39,6,19,9,9,0,2,0,1,0,58,24,0,0,0,0,0,59,24,59,10,7,45,13,24,4,4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,168,58,17,11,1,0,0,191,73,188,34,21,132,28,71,22,22,0,5,0,0,0,26,11,0,0,0,0,0,26,11,26,2,1,16,4,11,8,6,0,0,0,4,4,40,9,0,0,0,0,0,45,14,44,4,4,38,7,13,2,2,0,2,0,0,0,44,12,0,0,0,0,0,44,12,44,4,2,34,5,12,6,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,110,32,0,0,0,0,0,115,37,114,10,7,88,16,36,16,13,0,3,0,Damir Ismagulov,http://www.ufcstats.com/fighter-details/135d124172a0bea3,,Thiago Moises,http://www.ufcstats.com/fighter-details/d945aae53e3e54e6,,"Shenzhen, Guangdong, China",John Sharp,3,5:00,300,http://www.ufcstats.com/fight-details/060dfbc982c6c4ef,Decision - Unanimous,Albert Shen 30 - 27.Garth Harriman 30 - 27.Anthony Dimitriou 30 - 26.,Damir Ismagulov
,2019-08-31T00:00:00+00:00,Light Heavyweight Bout,7,6,65,21,0,0,0,0,0,72,27,72,2,1,70,26,27,0,0,0,0,0,6,6,95,40,0,0,0,0,0,103,48,101,9,8,92,38,46,0,0,0,0,0,0,0,17,8,0,0,0,0,0,20,11,17,3,3,14,5,8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,177,69,0,0,0,0,0,195,86,190,14,12,176,69,81,0,0,1,1,0,28,17,83,42,0,0,0,0,0,111,59,111,2,1,109,58,59,0,0,0,0,0,2,1,42,21,0,0,0,1,0,50,27,44,2,2,41,19,22,1,1,0,3,0,0,0,12,7,0,0,0,0,0,14,9,12,1,1,11,6,7,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,137,70,0,0,0,1,0,175,95,167,5,4,161,83,88,1,1,0,6,1,Da-Un Jung,http://www.ufcstats.com/fighter-details/74f9448b97bf8bec,"""Sseda""",Khadis Ibragimov,http://www.ufcstats.com/fighter-details/c3218c810959d279,,"Shenzhen, Guangdong, China",Leon Roberts,3,1:59,119,http://www.ufcstats.com/fight-details/5ff390f7bbf2bec8,Submission,Guillotine Choke In Clinch,Da-Un Jung
,2019-08-31T00:00:00+00:00,Bantamweight Bout,3,3,33,18,0,0,0,0,0,37,22,36,8,3,21,12,21,7,6,0,0,0,0,0,64,35,0,0,0,0,0,64,35,64,5,3,56,29,35,3,3,0,0,0,0,0,14,11,43,26,0,3,0,67,46,57,4,4,50,31,37,3,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,111,64,43,26,0,3,0,168,103,157,17,10,127,72,93,13,11,0,1,1,3,2,17,6,0,0,0,0,0,21,9,20,2,1,11,2,8,7,5,0,1,0,1,0,37,11,0,0,0,0,0,38,11,38,5,1,32,9,11,1,1,0,1,0,0,0,10,3,4,1,0,0,0,17,7,14,2,2,12,2,4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,64,20,4,1,0,0,0,76,27,72,9,4,55,13,23,8,6,0,3,0,Su Mudaerji,http://www.ufcstats.com/fighter-details/3cf18e01cb6cbde3,"""Sulamu""",Andre Soukhamthath,http://www.ufcstats.com/fighter-details/d0e50a3d1b250708,"""The Asian Sensation""","Shenzhen, Guangdong, China",Thomas Fan,3,5:00,300,http://www.ufcstats.com/fight-details/09b91014bd88f815,Decision - Unanimous,Albert Shen 30 - 26.Evan Field 30 - 25.Anthony Dimitriou 30 - 26.,Su Mudaerji
,2019-08-31T00:00:00+00:00,Middleweight Bout,3,1,93,44,0,0,0,0,0,98,47,96,5,5,91,40,45,0,0,0,0,0,9,7,43,29,0,0,0,0,0,54,37,52,1,0,51,36,36,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,136,73,0,0,0,0,0,152,84,148,6,5,142,76,81,0,0,0,0,0,4,1,63,26,0,0,0,0,0,67,27,67,5,5,61,21,27,1,1,0,4,3,2,2,34,23,7,7,0,1,0,62,47,43,2,2,41,30,32,0,0,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,97,49,7,7,0,1,0,129,74,110,7,7,102,51,59,1,1,1,9,6,Junyong Park,http://www.ufcstats.com/fighter-details/285ae0b4a68221f4,"""The Iron Turtle""",Anthony Hernandez,http://www.ufcstats.com/fighter-details/093e1f5bb73850be,"""Fluffy""","Shenzhen, Guangdong, China",Steve Perceval,2,4:39,279,http://www.ufcstats.com/fight-details/8182dbc752c71137,Submission,Anaconda Choke On Ground,Anthony Hernandez
,2019-08-31T00:00:00+00:00,Women's Flyweight Bout,8,5,80,34,0,0,0,0,0,91,42,88,14,12,63,19,39,11,8,0,0,0,14,12,74,25,0,0,0,0,0,94,43,88,21,16,62,16,37,5,5,0,1,0,13,11,81,36,0,0,0,0,0,98,51,94,16,13,73,30,47,5,4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,28,235,95,0,0,0,0,0,283,136,270,51,41,198,65,123,21,17,0,4,0,5,5,49,17,0,0,0,0,0,55,23,54,3,2,51,20,22,0,0,0,1,0,8,5,57,24,0,0,0,0,0,68,32,65,4,3,61,26,29,0,0,0,3,0,9,9,76,33,0,0,0,0,0,91,47,85,2,2,83,40,42,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,182,74,0,0,0,0,0,214,102,204,9,7,195,86,93,0,0,0,4,0,Yanan Wu,http://www.ufcstats.com/fighter-details/fdbefee0827e1567,,Mizuki Inoue,http://www.ufcstats.com/fighter-details/43a59ce3bb40449e,,"Shenzhen, Guangdong, China",Thomas Fan,3,5:00,300,http://www.ufcstats.com/fight-details/5f900e4437e079b3,Decision - Split,Albert Shen 29 - 28.Garth Harriman 28 - 29.Barry Foley 28 - 29.,Mizuki Inoue
,2019-08-31T00:00:00+00:00,Welterweight Bout,2,1,42,14,0,0,0,0,0,45,16,44,12,4,25,6,15,7,5,0,0,0,0,0,7,2,0,0,0,0,1,9,4,7,0,0,5,1,2,2,1,0,0,0,4,3,73,38,0,0,0,0,0,77,41,77,7,2,68,37,41,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,122,54,0,0,0,0,1,131,61,128,19,6,98,44,58,11,8,0,0,0,4,1,40,16,0,0,0,0,0,45,18,44,2,2,39,12,17,3,3,0,0,0,0,0,10,3,3,2,0,2,1,30,21,13,1,1,11,3,5,1,1,1,4,2,0,0,28,11,0,0,0,1,0,30,13,28,4,3,24,8,11,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,78,30,3,2,0,3,1,105,52,85,7,6,74,23,33,4,4,1,6,3,Kenan Song,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a,"""The Assassin""",Derrick Krantz,http://www.ufcstats.com/fighter-details/714e1e0681ddb703,"""D-Rock""","Shenzhen, Guangdong, China",John Sharp,3,5:00,300,http://www.ufcstats.com/fight-details/676561d9690ce31d,Decision - Unanimous,Howard Hughes 29 - 28.Evan Field 29 - 28.Anthony Dimitriou 29 - 28.,Kenan Song
,2019-08-31T00:00:00+00:00,Flyweight Bout,0,0,40,20,3,2,0,0,0,44,23,43,3,1,34,15,22,6,6,0,1,1,0,0,65,28,4,2,1,0,0,70,31,69,3,0,56,21,30,10,9,0,0,0,3,2,78,37,0,0,0,0,0,81,39,81,13,8,56,22,39,12,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,183,85,7,4,1,0,0,195,93,193,19,9,146,58,91,28,24,0,1,1,1,1,47,15,0,0,0,0,0,51,19,48,0,0,45,16,16,3,0,0,6,1,0,0,79,24,0,0,0,0,0,79,24,79,4,1,69,20,24,6,3,0,1,0,2,1,66,19,0,0,0,0,0,68,20,68,6,3,60,15,20,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,192,58,0,0,0,0,0,198,63,195,10,4,174,51,60,11,5,0,7,1,Kai Kara-France,http://www.ufcstats.com/fighter-details/853eb0dd5c0e2149,"""Don't Blink""",Mark De La Rosa,http://www.ufcstats.com/fighter-details/f57dd0bfa8c17813,"""Bumblebee""","Shenzhen, Guangdong, China",Steve Perceval,3,5:00,300,http://www.ufcstats.com/fight-details/b07188063c49b755,Decision - Unanimous,Albert Shen 30 - 27.Garth Harriman 29 - 28.Anthony Dimitriou 30 - 27.,Kai Kara-France
10427,2019-08-03T00:00:00+00:00,Women's Flyweight Bout,19,11,29,10,0,0,0,0,0,67,37,48,4,2,34,12,21,10,7,0,0,0,4,2,44,21,0,0,0,0,0,48,23,48,4,4,26,9,23,18,10,0,0,0,3,1,44,16,0,0,0,0,0,47,17,47,4,2,31,10,17,12,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,14,117,47,0,0,0,0,0,162,77,143,12,8,91,31,61,40,22,0,0,0,11,7,35,15,0,0,0,0,0,50,25,46,10,8,27,9,22,9,5,0,0,0,5,2,44,13,0,0,0,0,0,49,15,49,9,3,27,7,15,13,5,0,0,0,5,3,66,15,0,0,0,0,0,71,18,71,15,9,48,4,18,8,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,12,145,43,0,0,0,0,0,170,58,166,34,20,102,20,55,30,15,0,0,0,Miranda Granger,http://www.ufcstats.com/fighter-details/7559395ad833c074,"""Danger""",Hannah Goldy,http://www.ufcstats.com/fighter-details/26e3f3928b1891d9,"""24K""","Newark, New Jersey, USA",Herb Dean,3,5:00,300,http://www.ufcstats.com/fight-details/94560d1dc6248347,Decision - Unanimous,Munah Holland 30 - 27.Dominic Carolei 30 - 27.Jon Bilyk 30 - 27.,Miranda Granger
,2019-08-31T00:00:00+00:00,Welterweight Bout,3,3,20,9,0,0,1,0,0,23,12,23,3,2,15,6,12,5,4,0,1,1,4,2,52,22,0,0,0,0,0,56,24,56,1,1,52,20,24,3,3,0,1,0,4,3,41,16,4,4,2,0,0,49,23,49,2,1,41,19,23,6,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,113,47,4,4,3,0,0,128,59,128,6,4,108,45,59,14,10,0,3,2,1,1,38,10,0,0,0,0,0,39,11,39,11,5,22,1,11,6,5,0,0,0,3,2,61,23,0,0,0,0,0,64,25,64,12,11,47,10,25,5,4,0,0,0,0,0,57,18,0,0,0,0,0,59,19,57,10,5,45,12,18,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,156,51,0,0,0,0,0,162,55,160,33,21,114,23,54,13,10,0,1,0,Jingliang Li,http://www.ufcstats.com/fighter-details/e64b96c07d7ce999,"""The Leech""",Elizeu Zaleski dos Santos,http://www.ufcstats.com/fighter-details/8adcbd525fab8d9b,"""Capoeira""","Shenzhen, Guangdong, China",John Sharp,3,4:51,291,http://www.ufcstats.com/fight-details/55480808b1fa1f9c,KO/TKO,Punches to Head At Distance,Jingliang Li
,2019-08-31T00:00:00+00:00,UFC Women's Strawweight Title Bout,1,1,11,3,0,0,0,0,0,12,4,12,2,1,9,2,4,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11,3,0,0,0,0,0,12,4,12,2,1,9,2,4,1,1,0,0,0,13,13,23,15,2,1,1,0,0,38,29,38,7,7,25,16,29,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,23,15,2,1,1,0,0,38,29,38,7,7,25,16,29,6,6,0,0,0,Jessica Andrade,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f,"""Bate Estaca""",Weili Zhang,http://www.ufcstats.com/fighter-details/1ebe20ebbfa15e29,"""Magnum""","Shenzhen, Guangdong, China",Leon Roberts,1,0:42,42,http://www.ufcstats.com/fight-details/357cf8a9b6737625,KO/TKO,Punch to Head At Distance,Weili Zhang
